Id Sample,Source,Date extraction,guid,Reference Genome,Plate name,Row ID,Column ID,,,
Mada-P224C ,Culture ,8/12/20,64d68f96-7d17-4e84-a05d-d569e8122fa9,R00000039,PR2832_CRyPTIC_Peru,C,9,,,
Mada-P225C ,Culture ,8/12/20,7feb53d1-00e9-49e0-8d49-743b2072d04c,R00000039,PR2832_CRyPTIC_Peru,D,9,,,
Mada-P226C ,Culture ,8/12/20,bd8276bd-160a-4044-a8e1-071c1822219e,R00000039,PR2832_CRyPTIC_Peru,E,9,,,
Mada-P227C ,Culture ,8/12/20,6e4444e5-c0ab-4e76-80b1-77e1a314246f,R00000039,PR2832_CRyPTIC_Peru,F,9,,,
Mada-P228C,Culture ,8/12/20,56138f24-84df-4a4c-9e89-7e43beb59eba,R00000039,PR2832_CRyPTIC_Peru,G,9,,,
Mada-P229C ,Culture ,8/12/20,a381ad1a-2036-4173-8da4-9d32ee3629a7,R00000039,PR2832_CRyPTIC_Peru,H,9,,,
Mada-P230C ,Culture ,8/12/20,54b106b2-8e2f-4f36-b806-024c64925f1d,R00000039,PR2832_CRyPTIC_Peru,A,10,,,
Mada-P206S_r,Sputum,17/10/19,abdc9390-7630-446c-ad30-ef11d0a28614,R00000039,PR2832_CRyPTIC_Peru,B,10,,,
Mada-P219S_r ,Sputum,5/11/19,5e12626f-0186-41c3-9d80-2fd2a732f3ff,R00000039,PR2832_CRyPTIC_Peru,C,10,,,
Mada-P220S_r,Sputum,19/11/19,e5d1a82c-fbd4-4915-8a02-9d67c57247a6,R00000039,PR2832_CRyPTIC_Peru,D,10,,,
Mada-P222S_r ,Sputum,22/10/19,08cd1f41-9fda-432c-a6db-8d587783ceb8,R00000039,PR2832_CRyPTIC_Peru,E,10,,,
Mada-P225S_r ,Sputum,15/10/19,d9851e6a-3967-422b-bd62-6bf58d3a7f6a,R00000039,PR2832_CRyPTIC_Peru,F,10,,,
Mada-P227S_r ,Sputum,26/9/19,0aa1a69c-d632-4fe1-b0f6-8851c02f2623,R00000039,PR2832_CRyPTIC_Peru,G,10,,,
Mada-P228S_r ,Sputum,26/9/19,a5ca247b-ad23-4da1-bda1-f9923cdccb97,R00000039,PR2832_CRyPTIC_Peru,H,10,,,
Mada-P229S_r ,Sputum,8/10/19,a1642208-1324-4123-ad03-a4b326644861,R00000039,PR2832_CRyPTIC_Peru,A,11,,,
Mada-P228C_r,Culture ,8/12/20,42d3adcd-dd95-46ba-a03e-864770feffce,R00000039,PR2832_CRyPTIC_Peru,B,11,,,
Mada-P229C_r ,Culture ,8/12/20,92b7abde-6c54-4a84-baee-9ed527944c9b,R00000039,PR2832_CRyPTIC_Peru,C,11,,,
Mada-P230C_r ,Culture ,8/12/20,5ea62c13-8706-4a40-ac37-17605975f43e,R00000039,PR2832_CRyPTIC_Peru,D,11,,,
Mada-P201S_r,Sputum,26/11/19,71f4d2e6-1f73-4ada-9735-0f8768a865c3,R00000039,PR2832_CRyPTIC_Peru,E,11,,,
Mada-P202S_r ,Sputum,26/11/19,da795113-966f-41a7-82f1-359b1159833a,R00000039,PR2832_CRyPTIC_Peru,F,11,,,
Mada-P203S_r ,Sputum,7/10/19,03922e41-3d71-4c98-8911-3125cecdbb14,R00000039,PR2832_CRyPTIC_Peru,G,11,,,
Mada-P204S_r,Sputum,26/11/19,72fddccf-cf45-4b5c-a971-f938ac27e97a,R00000039,PR2832_CRyPTIC_Peru,H,11,,,
Mada-P205S_r ,Sputum,26/11/19,02b01033-8310-4187-8007-92992893079f,R00000039,PR2832_CRyPTIC_Peru,A,12,,,
Mada-P210S_r ,Sputum,4/2/20,a2c35052-8a3a-4cf4-aafe-34eeace7c944,R00000039,PR2832_CRyPTIC_Peru,B,12,,,
Mada-P211S_r ,Sputum,5/10/19,36c44aec-9e7b-4b35-8949-c4d0ee73d444,R00000039,PR2832_CRyPTIC_Peru,C,12,,,
Mada-P227S_r_1,Sputum,26/9/19,9798bdc3-b73b-4f68-87c5-efb2d346a733,R00000039,PR2832_CRyPTIC_Peru,D,12,,,
Mada-P228S_r_1 ,Sputum,26/9/19,0c62a97f-591f-4f6a-9730-e02a5a7fb03a,R00000039,PR2832_CRyPTIC_Peru,E,12,,,
Mada-P229S_r_1 ,Sputum,8/10/19,cae8c334-44a0-45e6-8ed8-fd41b3d8662a,R00000039,PR2832_CRyPTIC_Peru,F,12,,,
Mada-P206S_r_1,Sputum,17/10/19,af661c80-aa1e-4f83-8759-ac87e8e94ccc,R00000039,PR2832_CRyPTIC_Peru,G,12,,,
Mada-P222S_r_1 ,Sputum,22/10/19,373ea8d0-8560-4ef6-aec0-0c2bcd619636,R00000039,PR2832_CRyPTIC_Peru,H,12,,,
